ICL Prompt,ZSL Prompt,Answer
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Cink goes wire-to-wire at NEC AKRON, Ohio -- The last man picked for the Ryder Cup team led at Firestone from start to finish. Where: Shanty Creek Resort, Bellaire (Legend and Cedar River courses).
Category: Sports
News: Laser Printers Recalled for Shock Hazard - CPSC (Reuters) Reuters - About 39,400 laser printers made by\Lexmark International Inc.  and sold by IBM  and\Dell Inc.  are being recalled in the United States\because of a potential electrical shock hazard, the Consumer\Product Safety Commission said on Tuesday.
Category: Technology
News: Forstmann Little to buy sports, talent agency IMG CLEVELAND -- International Management Group, a sports and celebrity management and marketing firm that has represented Tiger Woods, Joe Montana, and Derek Jeter, is being sold to a New York buyout specialist firm in a cash deal valued at more than \$700 million.
Category: Business
News: Violence greets Iraq poll campaign, Saddam meets lawyer, hostage &lt;b&gt;...&lt;/b&gt; BAGHDAD (AFP) - An Italian hostage was reported killed in Iraq, adding to the violence as campaigning started for the first post-Saddam Hussein elections, while for the first time since his capture a year ago the ousted president met his family-appointed 
Category: World
News: NASA Says Switches May Have Caused Genesis Crash Problems with switches aboard NASA #39;s Genesis solar probe may have kept its parachute from opening, which led to the craft #39;s crash-landing in the Utah desert, the US space agency said.
Category: Technology
News: M. Hampton, P ATLANTA (Ticker) -- Now that they have ended their three-game losing streak, the Atlanta Braves can focus on winning another division title.
Category: Sports
News: Marsh  amp; McLennan plummets as market run scared SHARES in Marsh  amp; McLennan plunged a further 10 per cent yesterday, taking their total fall to 47 per cent since the insurance broker took centre-stage in an inquiry by the New York attorney-general into market manipulation.
Category: Business
News: Merger wounds JP Morgan The sluggish bond market took a toll on another Wall Street behemoth, as JPMorgan Chase reported a 13per cent drop in third-quarter earnings, far worse than Wall Street analysts had expected.
Category: Business
News: Pistons 93 Timberwolves 85 AUBURN HILLS, Mich. Detroit started to resemble the NBA championship team it was last season with some key parts back on the scene.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Pistons 93 Timberwolves 85 AUBURN HILLS, Mich. Detroit started to resemble the NBA championship team it was last season with some key parts back on the scene.
Category:",Sports
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Google Plans Desktop Search Tool for Apple PCs Google Inc. GOOG.O plans to release a version of its desktop search tool for computers running on the Mac operating system from Apple Computer Inc.
Category: Technology
News: India, Pak replace hot air with gas pipeline NEW YORK: The prospect of a mutually beneficial gas pipeline through Pakistan to India has supplanted the hot air of bilateral bickering between two countries.
Category: World
News: India Offers Kashmir Talks, Pulls Troops India #39;s prime minister offered Wednesday to hold unconditional talks on Kashmir  quot;with anyone and everyone quot; as his country began withdrawing troops from the divided Himalayan region as a goodwill gesture to rival Pakistan.
Category: World
News: Sun Thumper server plans leaked to &lt;cite&gt;The Reg&lt;/cite&gt; &lt;strong&gt;Exclusive&lt;/strong&gt; Opteron is go go go
Category: Technology
News: Stocks poised to drop US stock futures pointed to a sharply lower start Friday as Intel Corp. #39;s disappointing third-quarter revenue and margin forecast sent chip stocks tumbling overseas.
Category: Business
News: China Communists End Leadership Meeting (AP) AP - China's communists wrap up a key leadership meeting Sunday amid speculation over whether former President Jiang Zemin is giving up his last major post, accelerating a handover of power to his successor, Hu Jintao.
Category: World
News: Saab Posts Gains in Profit and Sales (AP) AP - Saab AB reported higher third-quarter profits on Friday and project growth of 5 percent through 2004 as contracts for its military and aviation equipment remained steady during the quarter.
Category: World
News: Spain in another racist football row London - British ministers have condemned the  quot;disgraceful quot; racial abuse of England #39;s black players during Wednesday #39;s international friendly against Spain in Madrid and demanded that soccer authorities take action.
Category: Sports
News: Afghan Election Bandwagon Creaks Into Motion  SHIBERGHAN, Afghanistan (Reuters) - Afghanistan's election  bandwagon creaked into motion on Tuesday with a leading  candidate drawing the biggest crowd of the campaign so far.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Afghan Election Bandwagon Creaks Into Motion  SHIBERGHAN, Afghanistan (Reuters) - Afghanistan's election  bandwagon creaked into motion on Tuesday with a leading  candidate drawing the biggest crowd of the campaign so far.
Category:",World
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: SANS unveils top 20 security vulnerabilities The SANS Institute today released its annual Top-20 list of Internet security vulnerabilities. The list is compiled from recommendations by leading security researchers and companies around the world.
Category: Technology
News: Sprint, SBC Set Hot Spot Pact Sprint (FON:NYSE - news - research) and SBC Communications (SBC:NYSE - news - research) set a plan that will give their customers access to both companies #39; Wi-Fi Internet service hot spots.
Category: Business
News: Linux cluster companies attract new funds com November 4, 2004, 6:00 PM PT. Organizations are replacing aging servers with newer more-powerful boxes, often Linux--based, and theyre also investing in storage.
Category: Technology
News: New York sues Saudi Arabia for 9/11 WASHINGTON: New York and New Jersey authorities have said they will join a lawsuit suing Saudi Arabia, Osama bin Laden and other Islamic institutions that allegedly raised money for terrorism.
Category: World
News: Britons would vote overwhelmingly for Kerry in US election: poll (AFP) AFP - British voters would turf President George W. Bush out of office in favour of John Kerry by an overwhelming majority if the November 2 US election was being held in their country, a poll said.
Category: World
News: No. 13 Florida St 29, Duke 7 Backup quarterback Wyatt Sexton led three long scoring drives in the second half, and Gary Cismesia tied a school record with five field goals in his college debut to lead 13th-ranked Florida State past Duke 29-7 Saturday.
Category: Sports
News: 6-foot gash found in tanker that spilled oil into Delaware River Divers found a 6-foot-long gash in a Greek tanker that spilled 30,000 gallons of syrupy crude oil into the Delaware River three days ago, Coast Guard officials said Sunday.
Category: Sports
News: Best game in town WALTHAM -- OK, granted, we're not Texas or Florida, and we're not Arkansas, Nebraska, or Alabama, either. In the grand scope of Football America, what we are is quaint.
Category: Sports
News: Download Crackdown Downunder Written by Anna Masci The war on music downloads continues with an Australian ex-cop being sued by 25 International and six Australian Record Companies for a legal suit amounting to \$500 million.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Download Crackdown Downunder Written by Anna Masci The war on music downloads continues with an Australian ex-cop being sued by 25 International and six Australian Record Companies for a legal suit amounting to \$500 million.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Radar Images Suggest a Saturn Moon's Landscape Contains Basins of Ice The Cassini spacecraft's first radar images of Saturn's largest moon, Titan, have revealed a diverse frozen landscape of bright streaks and dark regions.
Category: Technology
News: BACS looks to conquer Europe BACS, the UK clearing house and operator of the direct debit system, will today announce it is changing its name to Voca and planning to muscle in on the continental European market for automated payments.
Category: Business
News: Samsung to Sell U.S. High-Speed Phone in Early 2005  NEW YORK (Reuters) - Samsung Electronics Co. Ltd.  &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=005930.KS qtype=sym infotype=info qcat=news""&gt;005930.KS&lt;/A&gt; plans to introduce a mobile telephone with  high-speed Internet links in the United States in the first  quarter of next year, an executive said on Thursday.
Category: Technology
News: Study Suggests Design Flaws Didn't Doom Towers Federal investigators have largely ruled out a design flaw as a central factor in the collapse of the World Trade Center towers.
Category: World
News: Top 10 in AP Women's Poll Stays Same (AP) AP - From LSU at No. 1 to Ohio State at No. 10, The AP women's basketball poll had no changes Monday.
Category: Sports
News: Report: Clarett Claims Cash, Cars Among OSU Benefits COLUMBUS, Ohio -- Former Ohio State tailback Maurice Clarett told ESPN The Magazine that he  quot;took the fall quot; for the school during a 2003 NCAA investigation into the football program.
Category: Sports
News: Palmer Likely Out The Bengals probably will be without quarterback Carson Palmer for Sunday's game against the Bills.
Category: Sports
News: US Airways, pilots seek common ground Pilots and management at US Airways continue talks Friday in hopes of making a deal to help save the struggling carrier. Negotiations might continue into the Labor Day weekend, says pilots union spokesman Jack Stephan.
Category: Business
News: Young Given Lifetime Ban for Second Offense  COLORADO SPRINGS, Colorado (Reuters) - World 400 meters  champion Jerome Young has been given a lifetime ban from  athletics for a second doping offense, the U.S. Anti-Doping  Agency (USADA) said Wednesday.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Young Given Lifetime Ban for Second Offense  COLORADO SPRINGS, Colorado (Reuters) - World 400 meters  champion Jerome Young has been given a lifetime ban from  athletics for a second doping offense, the U.S. Anti-Doping  Agency (USADA) said Wednesday.
Category:",Sports
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Apple iTunes Rocks Europe  quot;We #39;re excited to bring the iTunes Music Store to even more music fans across Europe, and with this expansion we now reach customers in almost 70 percent of the global music market, quot; Apple #39;s Vice President of Applications Eddy Cue said.
Category: Technology
News: Fleming Becomes New Zealand #39;s Record Test Run-Scorer (Update2) Stephen Fleming hit an unbeaten 137 against Bangladesh on day one of the second Test to become New Zealand #39;s highest run-scorer in Test cricket.
Category: Sports
News: Variety is truly the spice of Christmas tree sales What does it take to lure harried Christmas shoppers away from the malls and the prepackaged convenience of an already decorated plastic Christmas tree in a box?
Category: Business
News: Newman Wins at Dover Ryan Newman resuscitates his fragile title hopes by winning the MBNA America 400 on another day of dizzying scoreboard watching.
Category: Sports
News: Yukos board escapes from Russia Fear of arrest has forced all the top executives at Russian oil giant Yukos to flee the country. The entire management board was in London on Thursday, according to the Financial Times.
Category: Business
News: Key advocate for Iraqis, seen as 'heroine', now a hostage LONDON -- She's lived in Iraq for three decades and has been a passionate advocate for its people, arguing against the US-led invasion, but humanitarian worker Margaret Hassan finds herself a pawn as the latest hostage in the conflict gripping her adopted homeland.
Category: World
News: DoCoMo offering i-mode to mmO2 Japan #39;s dominant wireless operator, NTT DoCoMo, has reached a basic agreement to offer its popular i-mode mobile internet technology to mmO2 OOM.
Category: Technology
News: Rooney war nears endgame Manchester United and Newcastle have until 1200 BST on Tuesday to secure a deal with Everton over Wayne Rooney. Everton, who play at Old Trafford in a lunchtime game on Monday, are sitting on a reputed 25m offer from the former Premiership champions.
Category: Sports
News: U.S. to More Closely Coordinate GPS Policy (Reuters) Reuters - The United States will more\aggressively promote and more tightly coordinate oversight of\its Global Positioning System, the network of satellites used\to determine precise geographic locations, the White House said\on Wednesday.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: U.S. to More Closely Coordinate GPS Policy (Reuters) Reuters - The United States will more\aggressively promote and more tightly coordinate oversight of\its Global Positioning System, the network of satellites used\to determine precise geographic locations, the White House said\on Wednesday.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Hughes is huge in Wizards' win The Minnesota Timberwolves didn't stop when the clock did. Kevin Garnett and Sam Cassell combined for 11 straight points after the game clock malfunctioned, and the Timberwolves went on to a 121-110 victory over the host Sacramento Kings last night.
Category: Sports
News: Deutsche Bank, Thomas Weisel settle research charges SAN FRANCISCO (CBS.MW) -- Deutsche Bank (DB) and Thomas Weisel Partners settled a Securities and Exchange Commission investigation into alleged conflicts of interest over the firms #39; research and investment banking activities.
Category: Business
News: Williams Industries Blames Congress Williams Industries Inc. said its \$780,000 loss in the past fiscal year was due, in part, to ""political haggling"" over highway spending.
Category: Business
News: Tape of Bigley Decapitation Posted on Web BAGHDAD, Iraq - A videotape of the beheading of British hostage Kenneth Bigley appeared Sunday on an Islamist Web site, showing the civil engineer pleading that he wanted ""to live a simple life"" moments before he was decapitated.    The nearly five-minute tape appeared two days after Bigley's family said it had proof that the 62-year-old civil engineer from Liverpool was dead...
Category: World
News: Future of Illinois Farm May Lie in Swampy Past Environmentalists say they can return a 7,000-acre farm to its natural state as a thriving wetland by allowing it to flood.
Category: Technology
News: Russia Ships Join NATO Anti-Terror Patrol (AP) AP - Two Russian navy ships will join NATO's anti-terrorist patrols in the Mediterranean later this week, but that doesn't make the defensive alliance an ally, Russia's defense minister said on Tuesday.
Category: World
News: Portugal blasted after draw with Liechtenstein _ Portuguese media heaped criticism Sunday on the country #39;s national soccer team, which was held to an embarrassing 2-2 draw by minnow Liechtenstein in World Cup qualifying.
Category: Sports
News: Terry and Gudjohnsen keep 100 per cent record intact CHELSEA moved five points clear at the top of Group H last night, continuing their 100 per cent record in the Champions League group stage with a 2-0 win over CSKA Moscow.
Category: Sports
News: First Coast Families Invest \$15.7 Million In Nationwide Scheme JACKSONVILLE, FL -- In a complaint filed by the Securities and Exchange Commission, Learn Waterhouse #39;s bank scheme promised investors returns of five to 50-percent a month on a minimum investment of \$10,000.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: First Coast Families Invest \$15.7 Million In Nationwide Scheme JACKSONVILLE, FL -- In a complaint filed by the Securities and Exchange Commission, Learn Waterhouse #39;s bank scheme promised investors returns of five to 50-percent a month on a minimum investment of \$10,000.
Category:",Business
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Blast at hotel in Red Sea resort A possible gas explosion at a hotel on the border between Egypt and Israel causes several casualties.
Category: World
News: Nokia: 3Q Profits Will Beat Predictions Nokia said Thursday its third-quarter revenue and profits would be better than expected, citing an increase in mobile phone sales.
Category: Business
News: Virtualization company moves wares to Windows SWsoft, a company that lets a Linux server be subdivided into independent partitions, is ready to begin testing a Windows version of its product.
Category: Technology
News: SEC deepens Krispy Kreme inquiry The Securities and Exchange Commission has escalated its investigation of Krispy Kreme Doughnuts Inc. to a formal inquiry, the company said yesterday.
Category: Business
News: Vodafone names former rival as new head of Japanese unit (AFP) AFP - British mobile phone operator Vodafone said it has brought in an executive from Japanese rival NTT DoCoMo to head up its struggling Japanese unit, Vodafone K.K.
Category: Technology
News: Reshaping a Reshaper of Landscapes he Rouse Company, the mall developer and manager that has helped reshape the nation #39;s landscape, agreed yesterday to be acquired by General Growth Properties, the big owner of shopping centers, for \$7.
Category: Business
News: Japan Court: Bobby Fischer Can Be Deported  TOKYO (Reuters) - A Tokyo court on Friday rejected a  request by former world chess champion Bobby Fischer to have  the Japanese authorities halt procedures to deport him, his  lawyer said.
Category: World
News: Cruise in Britian for 'Collateral' (AP) AP - Tom Cruise mingled with about 3,000 fans at the British premiere of ""Collateral,"" chatting on their cell phones, posing for photos and signing autographs for more than two hours outside a theater in Leicester Square.
Category: Technology
News: SAP, Infineon unveil RFID management system German business software vendor SAP AG and chip maker Infineon Technologies AG have launched a new software management system for connecting RFID (radio frequency identification) hardware and software from multiple vendors, the companies announced Tuesday.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: SAP, Infineon unveil RFID management system German business software vendor SAP AG and chip maker Infineon Technologies AG have launched a new software management system for connecting RFID (radio frequency identification) hardware and software from multiple vendors, the companies announced Tuesday.
Category:",Technology
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: UK Stocks Advance, Paced by British Airways and Rentokil UK stocks advanced, paced by British Airways Plc after the airline averted a strike by some of its staff. Rentokil Initial Plc, the world #39;s biggest pest control business, gained after 
Category: Business
News: Toys 'R' Us banks on strategy  With one week left until Christmas, customers can still find some of the season's hottest toys, like Dora's Talking House and Bella Dancerella, a ballet kit, at Toys ""R"" Us Inc. But it's a different story at rival Wal-Mart Stores Inc. , whose inventory of many of the popular items has been depleted.
Category: Business
News: Hewitt, Federer to clash for Cup HOUSTON -- Roger Federer dangled, Andy Roddick got mangled, and the nerves of 6,510 devotees were tangled and jangled during a breezy, bleak afternoon as the four best tennis players of the universe jammed with each other to see who would remain standing for the Masters Cup final.
Category: Sports
News: Russia to Test New Soyuz Booster on Oct. 29 Russia #39;s military will test a new-generation rocket booster this week that could eventually be used to launch civilian cargoes into space, Itar-Tass news agency said Monday.
Category: Technology
News: Colder Weather Keeps Oil Above \$41  LONDON (Reuters) - Oil prices held firm above \$41 a barrel  on Tuesday as colder weather in the U.S. brought temperatures  more into line with seasonal norms, spurring heating oil  buying.
Category: Business
News: Blumenthal to examine hospital medical supply charges NEW HAVEN, Conn. -- State Attorney General Richard Blumenthal is working with federal investigators to examine whether Yale-New Haven Hospital and other nonprofit hospitals in Connecticut are overcharging government agencies for medical supplies.
Category: Business
News: Americans Win Video Game Gold Medal (AP) AP - Amid fanfare fit for actual world-class athletes, five Americans with really quick fingers took home the gold medal Sunday in the popular ""Counter Strike"" competition of the World Cyber Games championships, capping five days of intense gaming by the world's elite.
Category: Technology
News: India #39;s decision on troop reduction cosmetic: Musharraf Islamabad, Nov. 20. (PTI): Pakistan President Pervez Musharraf today dismissed Indian government #39;s decision on the reduction of troops in Jammu and Kashmir as a  quot;cosmetic change quot; and not a strategic move that could help solve the Kashmir issue.
Category: World
News: Nigerian General Strike Suspended -Union (Reuters) Reuters - Nigerian unions on Monday suspended a\general strike due to start on Tuesday after the government\agreed to reduce domestic fuel prices, a union leader said.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Nigerian General Strike Suspended -Union (Reuters) Reuters - Nigerian unions on Monday suspended a\general strike due to start on Tuesday after the government\agreed to reduce domestic fuel prices, a union leader said.
Category:",World
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: UN says Sudanese rebel leaders violating ceasefire agreement KHARTOUM - The United Nations has condemned the takeover of a town in Darfur by rebels. The UN #39;s envoy to Sudan, Jan Pronk, says the assault leading to the capture violates a ceasefire agreement signed by rebel leaders.
Category: World
News: Microsoft seeks to suspend EU antitrust ruling Microsoft Corp. fought yesterday for a suspension of a landmark European Union antitrust ruling pending its appeal, arguing that being forced to share its closely guarded software codes with rivals now would do it irreversible damage.
Category: Business
News: NBA Wrap: 76ers Edge Pacers in Overtime Win  NEW YORK (Reuters) - Allen Iverson hit a 14-footer at the  buzzer to earn the Philadelphia 76ers 106-104 overtime win over  the Indiana Pacers Friday, spoiling Ron Artest's return from a  two-game suspension.
Category: Sports
News: US lender accused of  #39;cookie-jar #39; figures America #39;s biggest mortgage lender was thrown into turmoil yesterday when the industry watchdog accused it of having major accounting problems and doubted the  quot;soundness quot; of the company.
Category: Business
News: Bayern, Schalke Increase Pressure as Wolves Slip It #39;s getting very tight at the top of the Bundesliga with wins for Bayern Munich and Schalke 04 cutting Wolfsburg #39;s lead to just one point.
Category: Sports
News: AtheroGenics Shares Jump on Early Data Shares of drug company AtheroGenics Inc. opened up 81 percent Tuesday morning and remained at high levels after the company revealed promising clinical data late Monday for a drug to treat hardening arteries.
Category: Business
News: Seven bombs across Spain injure five in reminder of Basque &lt;b&gt;...&lt;/b&gt; MADRID (AFP) - Multiple bombs exploded across Spain injuring five people in attacks claimed by the Basque separatist group ETA, days after another series of blasts in Madrid in a reminder that the militant group is still a thorn in the side of authorities 
Category: World
News: Car Bomb Kills Top Hamas Leader in Syria DAMASCUS, Syria - A car bomb killed a leader of the Hamas militant group in Damascus on Sunday and Israel claimed responsibility.    Police at the scene were seen retrieving pieces of the body of Izz Eldine Subhi Sheik Khalil...
Category: World
News: Congress Sends Bush Tax Cut Bill, Victory WASHINGTON - Legislation extending three popular middle-class tax cuts for the rest of the decade sailed through Congress by lopsided votes in both the House and Senate, giving President Bush a major legislative victory on his signature economic issue, tax relief.    Many Democrats complained during debate Thursday that the majority Republicans who control Congress should have offset the lost revenue to keep the nation's soaring deficits from getting worse...
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Congress Sends Bush Tax Cut Bill, Victory WASHINGTON - Legislation extending three popular middle-class tax cuts for the rest of the decade sailed through Congress by lopsided votes in both the House and Senate, giving President Bush a major legislative victory on his signature economic issue, tax relief.    Many Democrats complained during debate Thursday that the majority Republicans who control Congress should have offset the lost revenue to keep the nation's soaring deficits from getting worse...
Category:",World
"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Legendary double for El Guerrouj ATHENS -- In a historic 5,000-meter race, Hicham El Guerrouj of Morocco, who won gold at 1,500 meters last week, outkicked Ken enisa Bekele of Ethiopia in the final straightaway to record the first such double victory since the great Paavo Nurmi of Finland, El Guerrouj's hero, accomplished the feat 80 years ago at the 1924 Paris Olympics.
Category: Sports
News: Iran: Bullying Won't Stop Nuke Program (AP) AP - Iran reiterated Sunday that it won't accept any proposal depriving it of the right to enrich uranium, saying it can't be bullied into giving up its nuclear energy program, state media reported.
Category: World
News: CEDIA 2004: Picks and Pans  Here's what was good-looking, butt-ugly, and just plain annoying at the recent consumer electronics and home theater show.
Category: Technology
News: TiVo, Netflicks to announce partnership TiVo, the popular digital video recording system, and Netflix plan to team up to offer customers movie-downloading on demand. According to Newsweek, an announcement is due later this month.
Category: Technology
News: Dollar Hits New Low; Gold Heads for  #36;455 (Reuters) Reuters - The dollar hit record lows against\the euro Friday and a 4-1/2-year trough versus the yen\following a report China had cut its holdings of dollar assets,\lifting gold to a 16-year high and undermining Tokyo stocks.
Category: Business
News: Small Vendors Issue Security Challenge To Large Competitors Four vendors of application security products have created an alliance to challenge the ability of large-scale vendors--such as Check Point Software Technologies, Cisco Systems, Juniper Networks 
Category: Technology
News: Microsoft sees sluggish PC growth ahead In Microsoft #39;s latest SEC filing again, Redmond warns that next year won #39;t see the handsome growth in PC sales that it has seen over the past twelve months.
Category: Technology
News: Shoppers deal with mixed signals Economy: With consumer confidence down and spending up, shoppers wrestle with  #39;stop-and-go #39; mixed signals. By Andrea K. Walker.
Category: Business
News: A #39;s, Sox look like AL #39;s best For eight innings, anyway, it was the kind of pulsating confrontation that was anticipated considering how tough it has been to separate these two teams lately.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: A #39;s, Sox look like AL #39;s best For eight innings, anyway, it was the kind of pulsating confrontation that was anticipated considering how tough it has been to separate these two teams lately.
Category:",Sports
